SR. No,Rider ID,Rider Name,Phone,Darkstore ID,Darkstore Name,City,Vehicle Type,Status,Exp (Yrs),Avg Del/Day,Rating,earnings_per_hour,deliveries_accepted_triggers,total_deliveries_trigger,DPDT_percent
16,RDR-CHE-5016,Arjun Menon,+91 9222998994,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Petrol Scooter,Active,1.7,35,4,249,24,30,80
17,RDR-CHE-5017,Sachin Chauhan,+91 7587182120,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Bicycle,On Leave,3.7,31,4.6,408,15,15,100
18,RDR-CHE-5018,Mahesh Rao,+91 7771410971,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Electric Scooter,On Leave,3.2,19,4.1,357,31,37,84
19,RDR-CHE-5019,Pradeep Sen,+91 9100614068,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Petrol Scooter,Active,1,26,4.8,443,15,26,58
20,RDR-CHE-5020,Rahul Gupta,+91 7358633898,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Electric Bike,Inactive,0.9,30,4.7,393,10,14,71
21,RDR-CHE-5021,Salman Sen,+91 7237859287,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Inactive,1.2,31,4.8,485,21,40,52
22,RDR-CHE-5022,Vinod Verma,+91 9910959828,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Active,1.9,36,4.5,291,6,14,43
23,RDR-CHE-5023,Arun Murthy,+91 9584779555,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Electric Scooter,Active,2,33,4.3,376,21,47,45
24,RDR-CHE-5024,Ashok Gupta,+91 7176228245,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Active,0.8,16,4.8,260,10,12,83
25,RDR-CHE-5025,Manoj Roy,+91 7399012686,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Active,1.1,44,4.8,413,21,32,66
26,RDR-CHE-5026,Prakash Das,+91 7942478695,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Active,0.9,36,4.1,121,46,46,100
27,RDR-CHE-5027,Vinod Chauhan,+91 8882839238,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Electric Scooter,On Leave,3.4,16,4.1,352,46,46,100
28,RDR-CHE-5028,Ajay Rajan,+91 7366992705,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Electric Scooter,Active,1.1,20,3.9,335,19,19,100
29,RDR-CHE-5029,Amit Babu,+91 7575808013,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Electric Bike,Inactive,0.9,35,5,444,19,19,100
30,RDR-CHE-5030,Arjun Patel,+91 7278575192,DS-CHE-2817,Blinkit  -  Nungambakkam I,Chennai,Petrol Scooter,Active,4.4,43,3.6,148,28,28,100
31,RDR-CHE-5031,Dinesh Kumar,+91 8384759615,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Bike,On Leave,1.8,37,4.9,158,26,26,100
32,RDR-CHE-5032,Srikanth Menon,+91 9622559454,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Scooter,Active,4.9,33,4.6,269,30,30,100
33,RDR-CHE-5033,Suresh Krishnan,+91 8161380746,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Scooter,Active,4.6,31,3.7,287,23,23,100
34,RDR-CHE-5034,Mahesh Patel,+91 7173574218,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Petrol Scooter,On Leave,1.6,18,4.9,370,15,18,83
35,RDR-CHE-5035,Prakash Gupta,+91 9738360085,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Bicycle,Active,3.5,33,4.3,289,8,10,80
36,RDR-CHE-5036,Rohit Verma,+91 9869005091,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Scooter,Active,1.1,35,3.9,274,11,22,50
37,RDR-CHE-5037,Varun Rao,+91 7110002396,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Petrol Scooter,Inactive,5,17,4.3,150,13,13,100
38,RDR-CHE-5038,Mahesh Mishra,+91 7474745382,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Bike,Inactive,2.2,20,4.2,463,10,10,100
39,RDR-CHE-5039,Venkat Iyer,+91 8756783995,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Bike,Inactive,2.9,36,4.7,154,49,49,100
40,RDR-CHE-5040,Rahul Rao,+91 9211225158,DS-CHE-1251,Blinkit  -  KK Nagar IV,Chennai,Electric Bike,Active,1,18,4.6,343,41,41,100
41,RDR-CHE-5041,Ramesh Mishra,+91 8749431082,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Electric Scooter,Active,3.6,42,3.9,419,19,43,44
42,RDR-CHE-5042,Naresh Mishra,+91 7199104722,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Petrol Scooter,Inactive,0.7,25,4.7,230,37,37,100
43,RDR-CHE-5043,Girish Mishra,+91 7895890631,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Petrol Scooter,On Leave,3,18,3.6,406,40,40,100
44,RDR-CHE-5044,Nandhu Murthy,+91 7685823118,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Bicycle,Active,3,28,3.7,234,17,17,100
45,RDR-CHE-5045,Rahul Mehta,+91 7484194737,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Electric Scooter,Active,1,39,4.3,120,48,48,100
46,RDR-CHE-5046,Lokesh Bose,+91 9265950383,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Electric Bike,Active,1.2,40,4.7,428,18,35,51
47,RDR-CHE-5047,Lokesh Kumar,+91 7890880074,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Electric Bike,On Leave,2.4,36,4.8,266,43,43,100
48,RDR-CHE-5048,Amit Mishra,+91 7945436943,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Petrol Scooter,Active,0.7,30,3.8,373,12,12,100
49,RDR-CHE-5049,Sunil Mehta,+91 8981044229,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Petrol Scooter,Active,0.6,21,4.1,487,12,21,57
50,RDR-CHE-5050,Vikram Babu,+91 7930353157,DS-CHE-3505,Blinkit  -  Siruseri I,Chennai,Electric Scooter,On Leave,2.3,41,4.3,188,10,10,100
51,RDR-CHE-5051,Ravi Singh,+91 8291735734,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Inactive,0.7,34,4.2,415,14,14,100
52,RDR-CHE-5052,Farhan Rajan,+91 8568574364,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Active,2.2,33,3.8,113,39,39,100
53,RDR-CHE-5053,Karthik Iyer,+91 8101815992,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Inactive,3.6,45,4.6,341,39,39,100
54,RDR-CHE-5054,Shankar Verma,+91 8563102056,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Electric Scooter,On Leave,2,25,4.5,364,15,26,58
55,RDR-CHE-5055,Anil Krishnan,+91 8644518647,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Electric Scooter,Active,2.3,24,4.3,445,32,32,100
56,RDR-CHE-5056,Ganesh Chauhan,+91 9507104143,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Inactive,3.3,24,4.1,152,24,24,100
57,RDR-CHE-5057,Arjun Yadav,+91 8325681936,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Active,3.4,29,4.2,485,21,46,46
58,RDR-CHE-5058,Satish Verma,+91 9608079792,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Petrol Scooter,Inactive,3.8,36,3.6,439,27,30,90
59,RDR-CHE-5059,Mahesh Menon,+91 9764926227,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Electric Scooter,Inactive,3.9,36,4,191,23,23,100
60,RDR-CHE-5060,Ganesh Reddy,+91 7149621604,DS-CHE-2117,Blinkit  -  Palavakkam Plus,Chennai,Electric Scooter,Active,4.3,17,4.2,466,7,11,64
61,RDR-CHE-5061,Girish Mukherjee,+91 7871318048,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Petrol Scooter,Active,1.6,35,4.5,363,16,20,80
62,RDR-CHE-5062,Salman Babu,+91 7935822550,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Petrol Scooter,Active,4.8,31,4.2,134,48,48,100
63,RDR-CHE-5063,Srikanth Gupta,+91 7590122159,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Electric Scooter,Active,2.9,32,4.4,305,31,47,66
64,RDR-CHE-5064,Salman Murthy,+91 8757830420,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Electric Bike,Inactive,2.4,44,4.3,180,39,43,91
65,RDR-CHE-5065,Pradeep Krishnan,+91 8583258726,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Electric Scooter,Active,3.4,39,4.7,149,47,47,100
66,RDR-CHE-5066,Naresh Pillai,+91 7394846763,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Petrol Scooter,On Leave,1.6,25,4,459,43,43,100
67,RDR-CHE-5067,Venkat Patel,+91 7261953189,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Electric Scooter,On Leave,3.7,17,4.1,487,27,27,100
68,RDR-CHE-5068,Ajay Sen,+91 8546434187,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Electric Scooter,Inactive,2.3,39,4.4,101,28,39,72
69,RDR-CHE-5069,Nandhu Kumar,+91 9508431021,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Petrol Scooter,Inactive,1.8,27,4.8,489,14,24,58
70,RDR-CHE-5070,Lokesh Sen,+91 9888807316,DS-CHE-2411,Blinkit  -  Kovilambakkam V,Chennai,Petrol Scooter,On Leave,1.5,22,3.9,153,36,36,100
71,RDR-CHE-5071,Naresh Kumar,+91 8460916347,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Petrol Scooter,On Leave,3.8,41,4.2,205,43,43,100
72,RDR-CHE-5072,Sanjay Bose,+91 9128955006,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Bike,Active,3.5,17,4.5,359,47,47,100
73,RDR-CHE-5073,Sanjay Babu,+91 8295130056,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Scooter,Active,1.5,25,4,409,30,42,71
74,RDR-CHE-5074,Dinesh Mishra,+91 8370874491,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Bike,Active,3.9,16,5,290,33,33,100
75,RDR-CHE-5075,Pranav Gupta,+91 9173678414,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Petrol Scooter,On Leave,3.9,45,3.9,317,17,24,71
76,RDR-CHE-5076,Ravi Bose,+91 7356135680,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Scooter,On Leave,3,21,4.2,143,39,39,100
77,RDR-CHE-5077,Rohit Subramanian,+91 8280162221,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Petrol Scooter,Inactive,3.7,39,4.7,261,26,26,100
78,RDR-CHE-5078,Rahul Singh,+91 9127571992,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Bike,Active,4.6,27,4.1,301,12,14,86
79,RDR-CHE-5079,Imran Verma,+91 7735760237,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Petrol Scooter,On Leave,1,39,4,369,38,38,100
80,RDR-CHE-5080,Satish Bose,+91 7954942461,DS-CHE-3113,Blinkit  -  Korattur Ultra,Chennai,Electric Bike,On Leave,2.1,28,4.5,450,13,13,100
81,RDR-CHE-5081,Manoj Roy,+91 9466394187,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Bicycle,Active,2.7,28,4.9,403,19,19,100
82,RDR-CHE-5082,Girish Murthy,+91 8859466878,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Electric Scooter,Active,2.8,35,3.9,370,11,26,42
83,RDR-CHE-5083,Venkat Subramanian,+91 8599154414,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,On Leave,1.7,42,3.9,314,19,19,100
84,RDR-CHE-5084,Deepak Mishra,+91 8361846370,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,Active,3.5,25,3.5,351,15,26,58
85,RDR-CHE-5085,Varun Nair,+91 8327761953,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Electric Scooter,Active,1.8,34,4.6,289,29,29,100
86,RDR-CHE-5086,Vikram Sen,+91 7654724287,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Electric Bike,Active,3.7,30,4.3,395,24,33,73
87,RDR-CHE-5087,Amit Iyer,+91 8793532952,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,Active,0.6,24,3.8,312,14,14,100
88,RDR-CHE-5088,Nandhu Gupta,+91 8812921644,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,Active,2.9,28,5,307,43,43,100
89,RDR-CHE-5089,Srikanth Pandey,+91 8854684750,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,Active,1.5,38,3.8,336,11,15,73
90,RDR-CHE-5090,Anil Krishnan,+91 9918394863,DS-CHE-1408,Zepto  -  Perungalathur Quick,Chennai,Petrol Scooter,Active,3.8,23,4.6,437,9,11,82
91,RDR-CHE-5091,Salman Roy,+91 9403867539,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Bike,Inactive,1.8,26,3.8,466,22,22,100
92,RDR-CHE-5092,Arjun Iyer,+91 9235917419,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Scooter,Inactive,3,37,4.9,152,9,20,45
93,RDR-CHE-5093,Girish Babu,+91 8210152642,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Bike,Active,2.6,29,4,379,32,32,100
94,RDR-CHE-5094,Suresh Mishra,+91 8222500131,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Bike,Active,0.8,35,4.5,316,25,25,100
95,RDR-CHE-5095,Ramesh Reddy,+91 9426240903,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Scooter,Active,3,28,4.4,351,40,40,100
96,RDR-CHE-5096,Rakesh Gupta,+91 9508427798,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Petrol Scooter,Active,4.4,28,4,287,20,20,100
97,RDR-CHE-5097,Rakesh Sharma,+91 9894664845,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Scooter,On Leave,3.3,23,4.5,479,25,25,100
98,RDR-CHE-5098,Pradeep Gupta,+91 7692697161,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Scooter,Active,2.5,34,4.2,140,17,17,100
99,RDR-CHE-5099,Karthik Gupta,+91 8859088046,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Scooter,Inactive,0.8,22,4.9,256,7,13,54
100,RDR-CHE-5100,Girish Mukherjee,+91 9963187150,DS-CHE-3579,Blinkit  -  Thiruvanmiyur Point,Chennai,Electric Bike,Active,3,35,3.7,114,49,49,100
101,RDR-CHE-5101,Vikram Chandran,+91 7176675731,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Electric Scooter,On Leave,3.2,41,4.4,400,13,13,100
102,RDR-CHE-5102,Sachin Shah,+91 7603260608,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Petrol Scooter,On Leave,4.7,31,4.3,164,21,34,62
103,RDR-CHE-5103,Arun Patel,+91 9142800191,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Electric Bike,On Leave,3.2,15,3.6,444,12,12,100
104,RDR-CHE-5104,Satish Chandran,+91 9730418447,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Electric Bike,Inactive,3.5,23,4.4,426,34,41,83
105,RDR-CHE-5105,Salman Subramanian,+91 7605196410,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Petrol Scooter,Active,1.8,33,4.2,108,12,12,100
106,RDR-CHE-5106,Naresh Patel,+91 8473620340,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Petrol Scooter,Active,1,20,4,443,36,36,100
107,RDR-CHE-5107,Nandhu Das,+91 8811443654,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Electric Bike,Inactive,3,29,3.6,228,38,38,100
108,RDR-CHE-5108,Rohit Pandey,+91 7929517022,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Petrol Scooter,Active,4.9,36,4.8,235,41,41,100
109,RDR-CHE-5109,Sunil Chauhan,+91 7301415220,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Petrol Scooter,On Leave,2.7,29,4.6,162,12,28,43
110,RDR-CHE-5110,Rajesh Mishra,+91 9240674381,DS-CHE-3254,Blinkit  -  Perumbakkam Nano,Chennai,Electric Bike,Active,3.6,18,3.5,238,19,30,63
111,RDR-CHE-5111,Girish Bose,+91 7862123506,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,Active,3,17,3.8,180,14,14,100
112,RDR-CHE-5112,Anil Shah,+91 7795472980,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Bike,Active,3.7,31,4.6,491,27,27,100
113,RDR-CHE-5113,Lokesh Chandran,+91 8607042130,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,Active,2.2,44,4.4,262,27,37,73
114,RDR-CHE-5114,Javed Murthy,+91 7174958005,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,On Leave,2.4,44,4.7,388,14,31,45
115,RDR-CHE-5115,Vikram Chandran,+91 7403696046,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Petrol Scooter,Inactive,3.1,36,4.2,478,27,30,90
116,RDR-CHE-5116,Ramesh Shah,+91 9620057604,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,Active,2.9,29,4.9,360,9,15,60
117,RDR-CHE-5117,Ganesh Iyer,+91 7713963047,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,Inactive,2.3,25,4.6,330,8,10,80
118,RDR-CHE-5118,Imran Rao,+91 8514548900,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Bike,On Leave,3.4,19,4.2,140,14,14,100
119,RDR-CHE-5119,Karthik Reddy,+91 9733701411,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Electric Scooter,Active,4.3,18,4.3,127,34,50,68
120,RDR-CHE-5120,Sunil Kumar,+91 9254785699,DS-CHE-1052,Blinkit  -  Royapuram III,Chennai,Petrol Scooter,On Leave,1.2,30,4.7,234,10,21,48
121,RDR-CHE-5121,Rohit Pandey,+91 9843785903,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Electric Scooter,Active,2,36,4.8,300,35,35,100
122,RDR-CHE-5122,Dinesh Pandey,+91 9871716956,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Electric Bike,Active,2.9,34,3.6,427,43,43,100
123,RDR-CHE-5123,Girish Menon,+91 8344261532,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Petrol Scooter,Active,0.9,35,4.6,367,19,23,83
124,RDR-CHE-5124,Vijay Shah,+91 7845178074,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Electric Scooter,Active,2,16,3.9,132,35,35,100
125,RDR-CHE-5125,Harish Chauhan,+91 7362204999,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Petrol Scooter,Active,4.1,20,3.8,147,19,36,53
126,RDR-CHE-5126,Rakesh Babu,+91 8765408938,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Petrol Scooter,Active,3.1,22,4.2,161,11,18,61
127,RDR-CHE-5127,Rohit Shah,+91 8816014770,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Bicycle,Inactive,4.6,36,4.3,315,20,35,57
128,RDR-CHE-5128,Manoj Shah,+91 8730900313,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Electric Scooter,Inactive,3.6,29,4.8,392,31,31,100
129,RDR-CHE-5129,Ganesh Joshi,+91 8214518079,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Electric Scooter,Active,3.1,37,3.9,198,39,39,100
130,RDR-CHE-5130,Shankar Joshi,+91 8108695125,DS-CHE-1644,Zepto  -  Gerugambakkam Zone,Chennai,Petrol Scooter,On Leave,3.9,16,4.9,271,19,26,73
131,RDR-CHE-5131,Javed Das,+91 8932945529,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,On Leave,2.1,35,3.8,459,35,35,100
132,RDR-CHE-5132,Rohit Menon,+91 9924065468,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,Inactive,3.3,43,4.4,313,32,45,71
133,RDR-CHE-5133,Karthik Yadav,+91 8135824891,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,On Leave,0.9,24,4,134,10,10,100
134,RDR-CHE-5134,Lokesh Nair,+91 7241905500,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,Inactive,2.1,31,4.9,326,17,17,100
135,RDR-CHE-5135,Pradeep Mishra,+91 8965960427,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Electric Scooter,Inactive,4.1,29,4.9,200,44,44,100
136,RDR-CHE-5136,Ramesh Subramanian,+91 7826197069,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,Inactive,4.9,40,4.3,230,19,24,79
137,RDR-CHE-5137,Deepak Rajan,+91 8114945047,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Electric Scooter,Active,2.2,38,4.5,356,14,31,45
138,RDR-CHE-5138,Ashok Joshi,+91 9498866784,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Electric Scooter,Active,0.6,43,4.9,104,23,23,100
139,RDR-CHE-5139,Varun Rao,+91 9337691219,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Petrol Scooter,On Leave,2.6,37,4,317,35,35,100
140,RDR-CHE-5140,Lokesh Singh,+91 7148690765,DS-CHE-2763,Blinkit  -  Nanganallur I,Chennai,Electric Bike,Active,2.7,18,3.9,354,37,37,100
141,RDR-CHE-5141,Venkat Reddy,+91 8587096273,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Electric Scooter,Inactive,3.6,32,4.1,497,32,32,100
142,RDR-CHE-5142,Javed Krishnan,+91 7545478870,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Petrol Scooter,Inactive,3.3,45,4.9,458,23,23,100
143,RDR-CHE-5143,Karthik Iyer,+91 8333291547,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Petrol Scooter,Inactive,4.3,18,5,382,29,33,88
144,RDR-CHE-5144,Harish Sen,+91 9485123110,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Electric Scooter,Active,4.9,45,4.8,492,7,11,64
145,RDR-CHE-5145,Sunil Patel,+91 9327746886,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Petrol Scooter,Active,0.6,40,4,306,35,35,100
146,RDR-CHE-5146,Sanjay Rajan,+91 9320337809,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Electric Scooter,On Leave,1.4,21,4.7,114,23,23,100
147,RDR-CHE-5147,Naveen Pandey,+91 7946799779,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Electric Bike,Active,4.4,19,5,445,16,16,100
148,RDR-CHE-5148,Venkat Mishra,+91 7218032515,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Petrol Scooter,Active,0.6,40,4.7,141,12,12,100
149,RDR-CHE-5149,Ashok Pandey,+91 7287095435,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Electric Scooter,Active,2.4,18,4.6,479,14,32,44
150,RDR-CHE-5150,Pavan Shah,+91 8651085057,DS-CHE-3776,Zepto  -  Chromepet Max,Chennai,Petrol Scooter,Active,1.5,34,3.6,278,12,27,44
